study_ID,Study,Site,Latitude,Longitude,max_Depth,mean_Depth,min_Depth,trajectory_ID,sample_size,sample_unit_size_sq_m,year,period,rawDate,sasDate,biomass_KG_wet_per_sq_m,Stipe_Density_num_per_sq_m,individual_per_sq_m,percent_cover,biomass_KG_wet_per_sq_m_STD,Stipe_Density_num_per_sq_m_STD,individual_per_sq_m_STD,percent_cover_STD,focalKelp,focalKelp_STD,focalUnit,elapsed,ROC
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1988,1,10485,09/15/1988,,7.27,,,,0.854108,,,7.27,0.8541077215,3,,
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1989,2,10815,08/11/1989,,7.5,,,,0.70445,,,7.5,0.7044501402,3,330,0.034473766
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1990,3,11176,08/07/1990,,6.95,,,,1.663205,,,6.95,1.6632047378,3,361,-0.077057997
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1991,4,11573,09/08/1991,,6.27,,,,0.648652,,,6.27,0.6486524493,3,397,-0.094730674
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1992,5,11949,09/18/1992,,4.84,,,,0.894707,,,4.84,0.8947066558,3,376,-0.25146067
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1993,6,12260,07/26/1993,,4.27,,,,0.829608,,,4.27,0.8296083413,3,311,-0.147158043
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1994,7,12644,08/14/1994,,4.44,,,,0.631862,,,4.44,0.6318623268,3,384,0.0371342724
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1995,8,13005,08/10/1995,,4.74,,,,1.596637,,,4.74,1.5966370909,3,361,0.0661525009
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1996,9,13366,08/05/1996,,2.91,,,,0.384708,,,2.91,0.3847076812,3,361,-0.493627842
1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1997,10,13739,08/13/1997,,2.6,,,,1.888121,,,2.6,1.8881207588,3,373,-0.110301227
